y_true,p0,p1,prediction,correct
1,0.9603566527366638,0.03964334726333618,0,0
0,0.8287541270256042,0.17124584317207336,0,1
0,0.8170974254608154,0.18290263414382935,0,1
0,0.9871066212654114,0.012893328443169594,0,1
0,0.981942355632782,0.018057608976960182,0,1
0,0.3357492983341217,0.6642506718635559,1,0
0,0.9675949811935425,0.03240503370761871,0,1
0,0.8941641449928284,0.10583587735891342,0,1
0,0.7249464392662048,0.27505362033843994,0,1
1,0.5470424890518188,0.45295748114585876,0,0
1,0.36433145403862,0.6356685757637024,1,1
1,0.13905073702335358,0.8609492182731628,1,1
0,0.8907364010810852,0.10926365852355957,0,1
0,0.32440897822380066,0.675590991973877,1,0
0,0.5157488584518433,0.48425108194351196,0,1
1,0.33882614970207214,0.6611738204956055,1,1
0,0.9870839715003967,0.012915984727442265,0,1
0,0.4163483679294586,0.5836516618728638,1,0
0,0.925054132938385,0.07494594901800156,0,1
0,0.9920582175254822,0.007941818796098232,0,1
0,0.9938158988952637,0.006184103898704052,0,1
0,0.9678153395652771,0.03218473121523857,0,1
1,0.301535427570343,0.6984645128250122,1,1
0,0.4773053824901581,0.5226946473121643,1,0
0,0.9898607730865479,0.010139241814613342,0,1
0,0.987003743648529,0.012996233068406582,0,1
0,0.9875710010528564,0.012429017573595047,0,1
1,0.6551302671432495,0.3448697328567505,0,0
1,0.40147146582603455,0.5985285639762878,1,1
0,0.7749820351600647,0.22501792013645172,0,1
0,0.9681411385536194,0.03185880929231644,0,1
0,0.9059036374092102,0.09409631043672562,0,1
0,0.8952736854553223,0.10472625494003296,0,1
1,0.7682278156280518,0.23177224397659302,0,0
0,0.9915002584457397,0.008499770425260067,0,1
0,0.9864089488983154,0.013591052033007145,0,1
0,0.9673835039138794,0.03261644020676613,0,1
0,0.9962342381477356,0.003765778848901391,0,1
0,0.9796547293663025,0.020345313474535942,0,1
0,0.7767682671546936,0.22323167324066162,0,1
0,0.7333940267562866,0.266605943441391,0,1
0,0.8733242750167847,0.12667575478553772,0,1
0,0.19345751404762268,0.8065424561500549,1,0
0,0.7761374711990356,0.22386254370212555,0,1
0,0.8626141548156738,0.13738581538200378,0,1
1,0.44980359077453613,0.5501964092254639,1,1
0,0.9929887652397156,0.007011264096945524,0,1
0,0.996241569519043,0.003758440725505352,0,1
0,0.9017947912216187,0.09820517152547836,0,1
0,0.9879284501075745,0.01207156665623188,0,1
